zip_code,latitude,longitude,city,state,county,community,estimated median income
91304.0,33.786594,-118.29866200000001,Canoga Park,CA,Los Angeles,"Los Angeles (Canoga Park, West Hills), Box Canyon","$68,282 "
91306.0,33.786594,-118.29866200000001,Winnetka,CA,Los Angeles,Los Angeles (Winnetka),"$67,869 "
91307.0,33.786594,-118.29866200000001,West Hills,CA,Los Angeles,"Los Angeles (West Hills), Bell Canyon","$116,803 "
91311.0,33.786594,-118.29866200000001,Chatsworth,CA,Los Angeles,Los Angeles (Chatsworth),"$86,156 "
91316.0,33.786594,-118.29866200000001,Encino,CA,Los Angeles,Los Angeles (Encino),"$74,611 "
91321.0,33.786594,-118.29866200000001,Newhall,CA,Los Angeles,Santa Clarita (Newhall),"$68,831 "
91324.0,33.786594,-118.29866200000001,Northridge,CA,Los Angeles,Los Angeles (Northridge),"$75,949 "
91325.0,33.786594,-118.29866200000001,Northridge,CA,Los Angeles,Los Angeles (Northridge),"$68,642 "
91326.0,33.786594,-118.29866200000001,Northridge,CA,Los Angeles,"Los Angeles (Northridge, Porter Ranch)","$112,865 "
91331.0,33.786594,-118.29866200000001,Pacoima,CA,Los Angeles,"Los Angeles (Arleta, Hansen Hills, Pacoima)","$60,360 "
91335.0,33.786594,-118.29866200000001,Reseda,CA,Los Angeles,Los Angeles (Reseda),"$60,413 "
91340.0,33.786594,-118.29866200000001,San Fernando,CA,Los Angeles,"San Fernando, Los Angeles (Mission Hills, Pacoima)","$53,564 "
91342.0,33.786594,-118.29866200000001,Sylmar,CA,Los Angeles,"Los Angeles (Lake View Terrace, Sylmar), Kagel Canyon","$70,106 "
91343.0,33.786594,-118.29866200000001,North Hills,CA,Los Angeles,Los Angeles (North Hills),"$62,791 "
91344.0,33.786594,-118.29866200000001,Granada Hills,CA,Los Angeles,Los Angeles (Granada Hills),"$92,286 "
91345.0,33.786594,-118.29866200000001,Mission Hills,CA,Los Angeles,Los Angeles (Mission Hills),"$75,969 "
91350.0,33.786594,-118.29866200000001,Santa Clarita,CA,Los Angeles,"Bouquet Canyon, Green Valley, Mint Canyon, Santa Clarita (Canyon County)","$112,664 "
91351.0,33.786594,-118.29866200000001,Canyon Country,CA,Los Angeles,Santa Clarita (Canyon Country),"$80,397 "
91352.0,33.786594,-118.29866200000001,Sun Valley,CA,Los Angeles,"Los Angeles (La Tuna Canyon, Sun Valley)","$55,177 "
91354.0,33.786594,-118.29866200000001,Valencia,CA,Los Angeles,Santa Clarita (Valencia),"$126,753 "
91355.0,33.786594,-118.29866200000001,Valencia,CA,Los Angeles,Santa Clarita (Valencia),"$92,707 "
91356.0,33.786594,-118.29866200000001,Tarzana,CA,Los Angeles,Los Angeles (Tarzana),"$74,561 "
91364.0,33.786594,-118.29866200000001,Woodland Hills,CA,Los Angeles,Los Angeles (Woodland Hills),"$103,278 "
91367.0,33.786594,-118.29866200000001,Woodland Hills,CA,Los Angeles,Los Angeles (Woodland Hills),"$87,699 "
91381.0,33.786594,-118.29866200000001,Stevenson Ranch,CA,Los Angeles,Stevenson Ranch,"$128,310 "
91384.0,33.786594,-118.29866200000001,Castaic,CA,Los Angeles,"Castaic, Val Verde","$108,102 "
91387.0,,,Canyon Country,CA,Los Angeles,"Santa Clarita (Canyon Country), Fair Oaks Ranch, Mint Canyon","$90,433 "
91390.0,,,Santa Clarita,CA,Los Angeles,"Agua Dulce, Green Valley, Santa Clarita (Saugus)","$116,298 "
91401.0,33.786594,-118.29866200000001,Van Nuys,CA,Los Angeles,"Los Angeles (Valley Glen, Van Nuys)","$54,058 "
91402.0,33.786594,-118.29866200000001,Panorama City,CA,Los Angeles,Los Angeles (Panorama City),"$42,857 "
91403.0,33.786594,-118.29866200000001,Sherman Oaks,CA,Los Angeles,"Los Angeles (Sherman Oaks, Van Nuys)","$95,944 "
91405.0,33.786594,-118.29866200000001,Van Nuys,CA,Los Angeles,Los Angeles (Valley Glen),"$43,548 "
91406.0,33.786594,-118.29866200000001,Van Nuys,CA,Los Angeles,"Los Angeles (Lake Balboa, Van Nuys)","$55,542 "
91411.0,33.786594,-118.29866200000001,Van Nuys,CA,Los Angeles,Los Angeles (Van Nuys),"$54,555 "
91423.0,33.786594,-118.29866200000001,Sherman Oaks,CA,Los Angeles,"Los Angeles (Sherman Oaks, Van Nuys)","$83,732 "
91436.0,33.786594,-118.29866200000001,Encino,CA,Los Angeles,Los Angeles (Encino),"$149,423 "
91501.0,33.786594,-118.29866200000001,Burbank,CA,Los Angeles,Burbank,"$70,326 "
